"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Egypt, Arab Rep.","EGY",157229974,0.351613923403994,1,37,2,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,1,2,,0,0,4,4,4,4,4,5,1,2,0,0
"Egypt, Arab Rep.","EGY",192216382,1.01009770410059,2,53,3,5,1,2,1,1,0,1,2,1,2,,2,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,1,2,2,2,1,1,3,3,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,1,1,4,4,4,2,5,1,2,1,0
"Egypt, Arab Rep.","EGY",124755610,0.309905486780498,2,44,2,3,1,2,1,1,0,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,,,,,,,,,,,,,,2,2,,2,1,2,,,,1,1,2,2,2,2,1,,1,2,2,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,3,3,2,3,,1,1,4,4,4,4,4,3,1,1,1,1
"Egypt, Arab Rep.","EGY",196074062,0.232307408579859,2,78,2,5,2,2,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,1,2,,,2,,,,,,2,3,3,4,,3,,1,0,4,4,1,4,2,5,1,1,1,0
"Egypt, Arab Rep.","EGY",196560454,0.6754986646083,2,49,3,3,1,2,1,1,0,1,2,1,2,,2,2,2,,,,1,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,1,2,1,1,2,2,1,2,,,,1,2,1,2,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,1,2,2,2,2,,1,1,1,4,4,4,2,3,1,1,1,0
"Egypt, Arab Rep.","EGY",208425623,0.597806408772086,1,29,2,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,3,2,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Egypt, Arab Rep.","EGY",122083781,0.657267718074345,1,34,3,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,3,2,2,3,1,2,1,,,,,1,1,,2,2,1,2,1,,2,2,,2,1,2,1,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Egypt, Arab Rep.","EGY",130014060,0.794223398684997,1,31,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,4,2,,0,0,4,4,4,4,4,5,1,2,0,0
"Egypt, Arab Rep.","EGY",116948225,0.34004460750468,2,35,2,5,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,1,2,2,2,1,2,,,,1,2,1,2,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,2,2,3,2,1,,1,1,2,4,4,4,4,3,1,1,0,0
"Egypt, Arab Rep.","EGY",156361899,1.39345118366448,2,70,1,4,2,2,1,1,0,1,2,1,2,,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,1,1,2,,,2,,,,,,3,2,1,4,3,1,,0,1,4,4,1,4,2,3,1,2,1,0
"Egypt, Arab Rep.","EGY",196958143,1.55788550858584,1,45,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,2,,0,0,4,4,4,4,2,5,1,2,0,0
"Egypt, Arab Rep.","EGY",161505382,1.31453543614869,1,26,3,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,3,2,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,3,2,2,2,,1,1,4,4,4,4,4,3,1,1,0,0
"Egypt, Arab Rep.","EGY",133384505,0.801919790325238,1,60,1,3,2,2,1,1,0,1,2,1,2,,2,2,2,,,,1,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,2,2,1,2,1,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,1,2,,,2,,,,,,2,2,2,2,1,3,,1,1,4,4,1,4,4,5,1,1,1,0
"Egypt, Arab Rep.","EGY",192511789,0.764961096662296,2,65,1,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,3,2,3,4,,1,,0,0,4,4,4,2,2,5,1,2,0,0
"Egypt, Arab Rep.","EGY",121560175,1.00217021807602,2,30,2,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,4,3,1,,0,1,4,4,4,4,4,5,1,2,0,0
"Egypt, Arab Rep.","EGY",168753551,1.46443218412442,1,32,3,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,2,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Egypt, Arab Rep.","EGY",131716436,0.639566191693695,2,65,3,4,2,2,1,1,0,2,1,1,2,,2,2,2,,,,1,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,1,2,1,,1,3,3,1,2,1,2,1,2,1,2,1,2,2,,,1,2,,,,,,,2,1,1,2,,,2,,,,,,2,2,2,3,2,2,,1,1,4,4,1,4,2,3,1,1,1,0
"Egypt, Arab Rep.","EGY",119193785,1.21974278082132,1,18,2,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,1,1,0,0
"Egypt, Arab Rep.","EGY",189907564,1.57952957899611,1,41,1,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,5,1,1,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,4,4,4,4,2,3,1,2,0,0
"Egypt, Arab Rep.","EGY",184638300,1.9622809307287,2,45,1,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,2,2,1,1,2,1,2,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,4,4,4,4,2,3,1,2,0,0
"Egypt, Arab Rep.","EGY",158478579,0.403401918819701,2,36,2,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,3,3,,0,0,4,4,4,4,2,5,1,1,0,0
"Egypt, Arab Rep.","EGY",176239651,0.885051288586537,2,16,2,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,3,1,1,0,0
"Egypt, Arab Rep.","EGY",167432962,0.232307408579859,2,54,2,5,1,2,1,1,0,2,1,1,1,2,2,1,2,,,,1,1,1,2,1,,,,,,,,,,,,,,2,,,2,1,2,,,,1,1,,2,2,2,1,,3,3,2,2,,,,2,,,,1,2,1,1,,,2,,,,,,,2,1,1,2,,,2,,,,,,3,3,3,3,,3,,1,1,4,4,1,4,1,5,1,1,1,0
"Egypt, Arab Rep.","EGY",137576557,0.835193819874672,1,42,1,1,2,2,1,1,0,2,1,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,1,2,,,2,,,,,,1,1,1,1,1,1,,0,0,4,1,4,4,4,5,1,2,1,0
